time,ActD,CISoe,SOCS3oe,SHP1oe,epo_level,STAT5_abs,STAT5_abs_std,SHP1_abs,SHP1_abs_std,CIS_abs,CIS_abs_std,SOCS3_abs,SOCS3_abs_std,pSTAT5B_rel,pSTAT5B_rel_std
0,0,0,0,NaN,1.25e-07,1.7971518860719,0.132830904731406,1.45384980416973,0.0721341835759837,NaN,NaN,NaN,NaN,0.508,2.85304581980764
0,0,0,0,NaN,1.25e-07,2.06903388541106,0.132830904731406,1.48944839182453,0.0721341835759837,NaN,NaN,NaN,NaN,0.68458816509399,2.85304581980764
0,0,0,0,NaN,1.25e-07,1.8390635225805,0.132830904731406,1.3374606408398,0.0721341835759837,NaN,NaN,NaN,NaN,1.1471363132332,2.85304581980764
0,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16093161443051,2.85304581980764
10,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.02,2.85304581980764
10,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.4474330326524,2.85304581980764
10,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.0541912811413,2.85304581980764
10,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.5513947378025,2.85304581980764
120,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,1.4633224345609,0.0796496229056262,1.09183655186437,0.114157404173136,NaN,NaN
120,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,1.41660002440178,0.0796496229056262,0.860675797377001,0.114157404173136,NaN,NaN
120,0,0,0,NaN,1.25e-07,NaN,NaN,NaN,NaN,1.29341545080765,0.0796496229056262,1.06229006385732,0.114157404173136,NaN,NaN
