time,ActD,CISoe,SOCS3oe,SHP1oe,epo_level,pJAK2_au,pJAK2_au_std,pEpoR_au,pEpoR_au_std
0,0,0,0,NaN,1.25e-06,-1.67427477718999,0.213204858738411,-0.509010399133144,0.213204858738411
0,0,0,0,NaN,1.25e-06,-1.58231045742858,0.213204858738411,-1.56877860413663,0.213204858738411
0.5,0,0,0,NaN,1.25e-06,-0.705956125196685,0.213204858738411,-0.675893656402002,0.213204858738411
1,0,0,0,NaN,1.25e-06,-0.421299842408169,0.213204858738411,-0.3726704026001,0.213204858738411
1.5,0,0,0,NaN,1.25e-06,-0.383923182957323,0.213204858738411,-0.0402412187782475,0.213204858738411
2,0,0,0,NaN,1.25e-06,-0.433347330062609,0.213204858738411,-0.165182766363165,0.213204858738411
3,0,0,0,NaN,1.25e-06,-0.308799334918894,0.213204858738411,-0.000641025181919024,0.213204858738411
4,0,0,0,NaN,1.25e-06,-0.0425217772127,0.213204858738411,-0.11423695260627,0.213204858738411
5,0,0,0,NaN,1.25e-06,0,0.213204858738411,0,0.213204858738411
6,0,0,0,NaN,1.25e-06,-0.0971372300108787,0.213204858738411,-0.28089981340697,0.213204858738411
7.5,0,0,0,NaN,1.25e-06,-0.118821811798618,0.213204858738411,-0.379443258342773,0.213204858738411
9,0,0,0,NaN,1.25e-06,-0.18491350909173,0.213204858738411,-0.0425799047297502,0.213204858738411
10.5,0,0,0,NaN,1.25e-06,-0.0819622234172301,0.213204858738411,-0.700895925372057,0.213204858738411
12,0,0,0,NaN,1.25e-06,-0.219164538664097,0.213204858738411,-0.289500719016774,0.213204858738411
13.5,0,0,0,NaN,1.25e-06,-0.319915339824355,0.213204858738411,-0.46950185784947,0.213204858738411
15,0,0,0,NaN,1.25e-06,-0.618350552589507,0.213204858738411,-0.110112690420483,0.213204858738411
16.5,0,0,0,NaN,1.25e-06,-0.397170664835941,0.213204858738411,-0.0216699792317956,0.213204858738411
18,0,0,0,NaN,1.25e-06,-0.123583554585545,0.213204858738411,-0.548012165394422,0.213204858738411
20,0,0,0,NaN,1.25e-06,-0.452426027573636,0.213204858738411,-0.778151250383644,0.213204858738411
22,0,0,0,NaN,1.25e-06,-0.641832181411499,0.213204858738411,-0.66330713226551,0.213204858738411
25,0,0,0,NaN,1.25e-06,-0.730089804913404,0.213204858738411,-0.919007637334648,0.213204858738411
28,0,0,0,NaN,1.25e-06,-0.410866719579557,0.213204858738411,-0.843201667585508,0.213204858738411
31,0,0,0,NaN,1.25e-06,-0.762417049356835,0.213204858738411,-1.07297655204086,0.213204858738411
35,0,0,0,NaN,1.25e-06,-1.11290966893094,0.213204858738411,-1.09630191422002,0.213204858738411
40,0,0,0,NaN,1.25e-06,-0.785329912013342,0.213204858738411,-1.00986685182846,0.213204858738411
45,0,0,0,NaN,1.25e-06,-0.624628283315861,0.213204858738411,-0.915107515067898,0.213204858738411
50,0,0,0,NaN,1.25e-06,-0.896724097560291,0.213204858738411,-1.15801519540989,0.213204858738411
60,0,0,0,NaN,1.25e-06,-1.19509725733043,0.213204858738411,-0.829245166247097,0.213204858738411
65,0,0,0,NaN,1.25e-06,-0.945275597980214,0.213204858738411,-0.801845916181854,0.213204858738411
70,0,0,0,NaN,1.25e-06,-0.652940010196435,0.213204858738411,-0.981049242655498,0.213204858738411
